code,A,B,C,D
9588,0,0,1,0
9589,0,0,1,0
9590,0,0,1,0
9591,0,0,1,0
9593,0,0,1,0
9594,0,0,1,0
9595,0,0,1,0
9596,0,0,1,0
9597,0,0,1,0
9598,0,0,1,0
9599,0,0,1,0
9601,0,0,1,0
9602,0,0,1,0
9606,0,0,1,0
9607,0,0,1,0
9609,0,0,1,0
9610,0,0,1,0
9611,0,0,1,0
9612,0,0,1,0
9613,0,0,1,0
9615,0,0,1,0
9616,0,0,1,0
9617,0,0,1,0
9619,0,0,1,0
9620,0,0,1,0
9621,0,0,1,0
9622,0,0,1,0
9624,0,0,1,0
9625,0,0,1,0
9626,0,0,1,0
9627,0,0,1,0
9628,0,0,1,0
9629,0,0,1,0
9630,0,0,1,0
9631,0,0,1,0
9632,0,0,1,0
9633,0,0,1,0
9634,0,0,1,0
9635,0,0,1,0
9636,0,0,1,0
9637,0,0,1,0
9638,0,0,1,0
9639,0,0,1,0
9640,0,0,1,0
9641,0,0,1,0
9642,0,0,1,0
9643,0,0,1,0
9644,0,0,1,0
9645,0,0,1,0
9646,0,0,1,0
9647,0,0,1,0
9648,0,0,1,0
9649,0,0,1,0
9651,0,0,1,0
9653,0,0,1,0
9655,0,0,1,0
9656,0,0,1,0
9657,0,0,1,0
9658,0,0,1,0
9659,0,0,1,0
9660,0,0,1,0
9663,0,0,1,0
9664,0,0,1,0
9665,0,0,1,0
9666,0,0,1,0
9667,0,0,1,0
9668,0,0,1,0
9669,0,0,1,0
9670,0,0,1,0
9671,0,0,1,0
9672,0,0,1,0
9673,0,0,1,0
9676,0,0,1,0
9677,0,0,1,0
9678,0,0,1,0
9679,0,0,1,0
9680,0,0,1,0
9681,0,0,1,0
9682,0,0,1,0
9683,0,0,1,0
9684,0,0,1,0
9685,0,0,1,0
9686,0,0,1,0
9687,0,0,1,0
9689,0,0,1,0
9690,0,0,1,0
9691,0,0,1,0
9692,0,0,1,0
9693,0,0,1,0
9694,0,0,1,0
9695,0,0,1,0
9696,0,0,1,0
9697,0,0,1,0
9698,0,0,1,0
9699,0,0,1,0
9700,0,0,1,0
9701,0,0,1,0
9703,0,0,1,0
9704,0,0,1,0
9705,0,0,1,0
9706,0,0,1,0
9707,0,0,1,0
9708,0,0,1,0
9709,0,0,1,0
9710,0,0,1,0
9711,0,0,1,0
9712,0,0,1,0
9713,0,0,1,0
9714,0,0,1,0
9716,0,0,1,0
9717,0,0,1,0
9718,0,0,1,0
9719,0,0,1,0
9720,0,0,1,0
9721,0,0,1,0
9722,0,0,1,0
9723,0,0,1,0
9725,0,0,1,0
9726,0,0,1,0
9728,0,0,1,0
9730,0,0,1,0
9731,0,0,1,0
9732,0,0,1,0
9733,0,0,1,0
9735,0,0,1,0
9736,0,0,1,0
9737,0,0,1,0
9738,0,0,1,0
9741,0,0,1,0
9743,0,0,1,0
9744,0,0,1,0
9745,0,0,1,0
9747,0,0,1,0
9748,0,0,1,0
9749,0,0,1,0
9754,0,0,1,0
9755,0,0,1,0
