code,AUDPS_Anc_21,AUDPS_Evo_21,Infectivity_Anc_21,Infectivity_Evo_21,SYM_Anc,SYM_Evo,Necrosis_Anc,Necrosis_Evo
6951,0,5.916666667,0,0.5,0,2,0,0
6956,1.385416667,8.927083333,0.125,0.625,2,3,0,0
6957,6.28125,14.44791667,0.375,0.875,3,2,0,0
6958,3.645833333,8.041666667,0.25,0.5,5,5,1,1
6959,1.260416667,6.916666667,0.125,0.5,3,3,0,0
6960,1.760416667,1.760416667,0.125,0.125,3,3,0,0
6961,3.895833333,3.895833333,0.25,0.25,3,2,0,0
6963,3.28125,1.385416667,0.375,0.125,2,2,0,0
6966,1.760416667,8.552083333,0.125,0.625,2,3,0,0
6967,0.885416667,8.041666667,0.125,0.5,1,5,0,1
